Use,Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValue in 1000 USD
Cladding tube,S4,KOR,68984,"Korea, Rep.",JPN,Japan,2015,Import,5,133.087
Cladding tube,S4,KOR,68984,"Korea, Rep.",JPN,Japan,2016,Import,5,28.508
Cladding tube,S4,KOR,68984,"Korea, Rep.",JPN,Japan,2017,Import,5,94.364
Cladding tube,S4,KOR,68984,"Korea, Rep.",JPN,Japan,2018,Import,5,124.168
Cladding tube,S4,KOR,68984,"Korea, Rep.",JPN,Japan,2019,Import,5,171.386
Cladding tube,S4,KOR,68984,"Korea, Rep.",JPN,Japan,2020,Import,5,135.828
Cladding tube,S4,KOR,68984,"Korea, Rep.",JPN,Japan,2021,Import,5,76.429
Cladding tube,S4,KOR,68984,"Korea, Rep.",RUS,Russian Federation,2019,Import,5,1.888
Cladding tube,S4,KOR,68984,"Korea, Rep.",RUS,Russian Federation,2020,Import,5,0.778
Cladding tube,S4,KOR,68984,"Korea, Rep.",RUS,Russian Federation,2021,Import,5,0.393
Cladding tube,S4,KOR,68984,"Korea, Rep.",SGP,Singapore,2015,Import,5,0.079
Cladding tube,S4,KOR,68984,"Korea, Rep.",UKR,Ukraine,2017,Import,5,18.3
Cladding tube,S4,KOR,68984,"Korea, Rep.",UKR,Ukraine,2018,Import,5,184.8
Cladding tube,S4,KOR,68984,"Korea, Rep.",USA,United States,2015,Import,5,71.185
Cladding tube,S4,KOR,68984,"Korea, Rep.",USA,United States,2016,Import,5,95.32
Cladding tube,S4,KOR,68984,"Korea, Rep.",USA,United States,2017,Import,5,256.194
Cladding tube,S4,KOR,68984,"Korea, Rep.",USA,United States,2018,Import,5,54.148
Cladding tube,S4,KOR,68984,"Korea, Rep.",USA,United States,2019,Import,5,146.352
Cladding tube,S4,KOR,68984,"Korea, Rep.",USA,United States,2020,Import,5,21.732
Cladding tube,S4,KOR,68984,"Korea, Rep.",USA,United States,2021,Import,5,131.059
Cladding tube,S4,KOR,68984,"Korea, Rep.",VNM,Vietnam,2016,Import,5,0.026
Cladding tube,S4,KOR,68984,"Korea, Rep.",VNM,Vietnam,2017,Import,5,0.018
Cladding tube,S4,KOR,69987,"Korea, Rep.",ARE,United Arab Emirates,2019,Import,5,0.116
Cladding tube,S4,KOR,69987,"Korea, Rep.",AUT,Austria,2015,Import,5,6.78
Cladding tube,S4,KOR,69987,"Korea, Rep.",BEL,Belgium,2018,Import,5,25.9
Cladding tube,S4,KOR,69987,"Korea, Rep.",BEL,Belgium,2020,Import,5,0.169
Cladding tube,S4,KOR,69987,"Korea, Rep.",CAN,Canada,2015,Import,5,9545.292
Cladding tube,S4,KOR,69987,"Korea, Rep.",CAN,Canada,2016,Import,5,3422.553
Cladding tube,S4,KOR,69987,"Korea, Rep.",CAN,Canada,2017,Import,5,4.846
Cladding tube,S4,KOR,69987,"Korea, Rep.",CAN,Canada,2018,Import,5,4.86
